Date,S&P500,CAPE
01/09/1898,5.26,20.44
01/10/1898,5.15,19.95
01/11/1898,5.32,20.53
01/12/1898,5.65,21.40
01/01/1899,6.08,22.93
01/02/1899,6.31,23.05
01/03/1899,6.40,23.28
01/04/1899,6.48,23.15
01/05/1899,6.21,22.09
01/06/1899,6.07,21.21
01/07/1899,6.28,21.56
01/08/1899,6.44,21.73
01/09/1899,6.37,20.59
01/10/1899,6.34,20.15
01/11/1899,6.46,20.20
01/12/1899,6.02,18.51
01/01/1900,6.10,18.67
01/02/1900,6.21,18.70
01/03/1900,6.26,18.78
01/04/1900,6.34,18.94
01/05/1900,6.04,18.40
01/06/1900,5.86,17.99
01/07/1900,5.86,17.69
01/08/1900,5.94,18.07
01/09/1900,5.80,17.34
01/10/1900,6.01,18.10
01/11/1900,6.48,19.42
01/12/1900,6.87,20.74
01/01/1901,7.07,20.98
01/02/1901,7.25,21.68
01/03/1901,7.51,22.35
01/04/1901,8.14,24.41
01/05/1901,7.73,23.06
01/06/1901,8.50,25.24
01/07/1901,7.93,23.14
01/08/1901,8.04,23.08
01/09/1901,8.00,22.59
01/10/1901,7.91,22.25
01/11/1901,8.08,22.38
01/12/1901,7.95,21.68
01/01/1902,8.12,22.34
01/02/1902,8.19,22.46
01/03/1902,8.20,22.41
01/04/1902,8.48,22.82
01/05/1902,8.46,22.43
01/06/1902,8.41,21.96
01/07/1902,8.60,22.39
01/08/1902,8.83,23.17
01/09/1902,8.85,22.86
01/10/1902,8.57,20.60
01/11/1902,8.24,20.41
01/12/1902,8.05,19.63
01/01/1903,8.46,20.32
01/02/1903,8.41,20.11
01/03/1903,8.08,19.88
01/04/1903,7.75,18.98
01/05/1903,7.60,18.95
01/06/1903,7.18,17.82
01/07/1903,6.85,16.92
01/08/1903,6.63,16.30
01/09/1903,6.47,15.65
01/10/1903,6.26,15.25
01/11/1903,6.28,15.41
01/12/1903,6.57,16.04
01/01/1904,6.68,15.86
01/02/1904,6.50,15.02
01/03/1904,6.48,15.08
01/04/1904,6.64,15.57
01/05/1904,6.50,15.53
01/06/1904,6.51,15.47
01/07/1904,6.78,16.04
01/08/1904,7.01,16.30
01/09/1904,7.32,16.74
01/10/1904,7.75,17.63
01/11/1904,8.17,18.08
01/12/1904,8.25,18.16
01/01/1905,8.43,18.46
01/02/1905,8.80,19.17
01/03/1905,9.05,19.83
01/04/1905,8.94,19.48
01/05/1905,8.50,18.63
01/06/1905,8.60,18.74
01/07/1905,8.87,19.21
01/08/1905,9.20,19.57
01/09/1905,9.23,19.74
01/10/1905,9.36,19.90
01/11/1905,9.31,19.44
01/12/1905,9.54,19.58
01/01/1906,9.87,20.13
01/02/1906,9.80,19.87
01/03/1906,9.56,19.26
01/04/1906,9.43,18.88
01/05/1906,9.18,18.05
01/06/1906,9.30,18.17
01/07/1906,9.06,18.20
01/08/1906,9.73,18.97
01/09/1906,10.03,19.20
01/10/1906,9.73,18.10
01/11/1906,9.93,18.14
01/12/1906,9.84,17.66
01/01/1907,9.56,17.22
01/02/1907,9.26,16.22
01/03/1907,8.35,14.69
01/04/1907,8.39,14.67
01/05/1907,8.10,13.79
01/06/1907,7.84,13.14
01/07/1907,8.14,13.59
01/08/1907,7.53,12.51
01/09/1907,7.45,12.33
01/10/1907,6.64,10.83
01/11/1907,6.25,10.59
01/12/1907,6.57,11.33
01/01/1908,6.85,11.90
01/02/1908,6.60,11.55
01/03/1908,6.87,11.98
01/04/1908,7.24,12.45
01/05/1908,7.63,13.08
01/06/1908,7.64,13.05
01/07/1908,7.92,13.35
01/08/1908,8.26,13.88
01/09/1908,8.17,13.70
01/10/1908,8.27,13.69
01/11/1908,8.83,14.44
01/12/1908,9.03,14.58
01/01/1909,9.06,14.76
01/02/1909,8.80,14.17
01/03/1909,8.92,14.34
01/04/1909,9.32,14.65
01/05/1909,9.63,14.95
01/06/1909,9.80,15.04
01/07/1909,9.94,15.23
01/08/1909,10.18,15.42
01/09/1909,10.19,15.25
01/10/1909,10.23,14.99
01/11/1909,10.18,14.75
01/12/1909,10.30,14.75
01/01/1910,10.08,14.55
01/02/1910,9.72,14.00
01/03/1910,9.96,14.05
01/04/1910,9.72,13.56
01/05/1910,9.56,13.57
01/06/1910,9.10,13.02
01/07/1910,8.64,12.34
01/08/1910,8.85,12.75
